"","SetID","P.value","N.Marker.All","N.Marker.Test"
"200","CCDC28B",1,4,0
"201","CCDC30",1,8,0
"202","CCDC30\x3bPPCS",1,2,0
"203","CCN1",1,3,0
"204","CCNL2",1,9,0
"205","CCNL2\x3bMRPL20-AS1",1,1,0
"206","CCT3",1,8,0
"207","CD101",1,7,0
"208","CD160",1,2,0
"209","CD160\x3bNBPF10\x3bNBPF19\x3bNBPF20",1,1,0
"210","CD164L2",1,2,0
"211","CD1A",1,3,0
"212","CD1B",1,4,0
"213","CD1C",1,2,0
"214","CD1D",1,2,0
"215","CD1E",1,5,0
"216","CD2",1,4,0
"217","CD244",1,3,0
"218","CD247",1,2,0
"219","CD48",1,3,0
"220","CD53",1,5,0
"221","CD58",1,3,0
"222","CD5L",1,3,0
"223","CD84",1,2,0
"224","CDA",1,1,0
"225","CDC14A",1,5,0
"226","CDC20",1,9,0
"227","CDC42",1,5,0
"228","CDC42SE1",1,2,0
"229","CDC7",1,8,0
"230","CDCA8",1,4,0
"231","CDCP2",1,5,0
"232","CDK11A",1,3,0
"233","CDK11A\x3bCDK11B",1,11,0
"234","CDK11B",1,23,0
"235","CDK11B\x3bSLC35E2B",1,2,0
"236","CELA2A",1,3,0
"237","CELA2B",1,6,0
"238","CELA3A",1,7,0
"239","CELA3B",1,10,0
"240","CELA3B\x3bCELA3A",1,1,0
"241","CELF3",1,9,0
"242","CELF3\x3bRIIAD1",1,1,0
"243","CELSR2",1,23,0
"244","CENPL",1,4,0
"245","CENPS\x3bCENPS-CORT",1,5,0
"246","CEP104",1,14,0
"247","CEP85",1,5,0
"248","CERS2",1,3,0
"249","CFAP126",1,1,0
"250","CFAP45",1,3,0
"251","CFAP57",1,19,0
"252","CFAP74",1,28,0
"253","CGN",1,20,0
"254","CHD1L",1,4,0
"255","CHD1L\x3bNBPF19",1,3,0
"256","CHD5",1,31,0
"257","CHD5\x3bRPL22",1,1,0
"258","CHI3L2",1,6,0
"259","CHIA",1,5,0
"260","CHIAP2",1,1,0
"261","CHRNB2",1,8,0
"262","CHTOP",1,2,0
"263","CIART",1,4,0
"264","CITED4",1,1,0
"265","CLCA1",1,3,0
"266","CLCA2",1,10,0
"267","CLCA4",1,6,0
"268","CLCC1",1,3,0
"269","CLCC1\x3bGPSM2",1,1,0
"270","CLCN6",1,11,0
"271","CLCNKA",1,9,0
"272","CLCNKA\x3bCLCNKB",1,2,0
"273","CLCNKB",1,18,0
"274","CLIC4",1,4,0
"275","CLK2",1,7,0
"276","CLSPN",1,4,0
"277","CLSTN1",1,20,0
"278","CMPK1",1,4,0
