"","SetID","P.value","N.Marker.All","N.Marker.Test"
"867","MSH4",1,4,0
"868","MST1L",1,31,0
"869","MST1P2",1,36,0
"870","MSTO1",1,5,0
"871","MSTO1\x3bYY1AP1",1,4,0
"872","MSTO2P",1,6,0
"873","MTF1",1,8,0
"874","MTF2",1,2,0
"875","MTFR1L",1,4,0
"876","MTHFR",1,3,0
"877","MTMR11",1,4,0
"878","MTOR",1,21,0
"879","MTX1",1,7,0
"880","MUC1",1,6,0
"881","MUL1",1,5,0
"882","MUTYH",1,10,0
"883","MXRA8",1,5,0
"884","MYBPHL",1,4,0
"885","MYCBP",1,1,0
"886","MYCL",1,1,0
"887","MYOC",1,4,0
"888","MYOM3",1,17,0
"889","MYSM1",1,2,0
"890","NADK",1,11,0
"891","NASP",1,14,0
"892","NBL1",1,2,0
"893","NBPF1",1,68,0
"894","NBPF10",1,23,0
"895","NBPF10\x3bNBPF11\x3bNBPF19\x3bNBPF20",1,2,0
"896","NBPF10\x3bNBPF12\x3bNBPF19\x3bNBPF20",1,5,0
"897","NBPF10\x3bNBPF19",1,4,0
"898","NBPF10\x3bNBPF19\x3bNBPF20",1,13,0
"899","NBPF10\x3bNBPF19\x3bNBPF20\x3bNUDT17",1,1,0
"900","NBPF10\x3bNBPF19\x3bNBPF20\x3bPEX11B",1,1,0
"901","NBPF10\x3bNBPF19\x3bNBPF20\x3bPIAS3",1,5,0
"902","NBPF10\x3bNBPF19\x3bNBPF20\x3bPOLR3C",1,3,0
"903","NBPF10\x3bNBPF19\x3bNBPF20\x3bPOLR3GL",1,2,0
"904","NBPF10\x3bNBPF19\x3bNBPF20\x3bRBM8A",1,1,0
"905","NBPF10\x3bNBPF19\x3bNBPF20\x3bRNF115",1,1,0
"906","NBPF11",1,3,0
"907","NBPF12",1,10,0
"908","NBPF12\x3bNBPF20",1,3,0
"909","NBPF13P",1,2,0
"910","NBPF14",1,9,0
"911","NBPF14\x3bNBPF19\x3bNBPF26",1,10,0
"912","NBPF14\x3bNBPF26",1,2,0
"913","NBPF15",1,5,0
"914","NBPF19",1,6,0
"915","NBPF19\x3bNBPF20",1,5,0
"916","NBPF19\x3bNBPF20\x3bNBPF8\x3bNBPF9",1,14,0
"917","NBPF19\x3bNBPF26",1,4,0
"918","NBPF19\x3bPRKAB2",1,3,0
"919","NBPF25P",1,75,0
"920","NBPF26",1,2,0
"921","NBPF3",1,35,0
"922","NBPF4",1,2,0
"923","NBPF4\x3bNBPF6",1,2,0
"924","NBPF6",1,2,0
"925","NBPF7",1,12,0
"926","NBPF8\x3bNBPF9",1,28,0
"927","NBPF9",1,6,0
"928","NCDN",1,4,0
"929","NCSTN",1,14,0
"930","NDC1",1,8,0
"931","NDUFS2",1,4,0
"932","NDUFS5",1,2,0
"933","NECAP2",1,6,0
"934","NECTIN4",1,8,0
"935","NEGR1",1,2,0
"936","NES",1,12,0
"937","NEXN",1,5,0
"938","NFIA",1,6,0
"939","NFYC",1,7,0
"940","NGF",1,1,0
"941","NHLH1",1,2,0
"942","NHLH2",1,1,0
"943","NIPAL3",1,11,0
"944","NIT1",1,5,0
"945","NKAIN1",1,2,0
"946","NME7",1,9,0
"947","NMNAT1",1,11,0
"948","NOC2L",1,8,0
"949","NOL9",1,9,0
"950","NOS1AP",1,5,0
"951","NOTCH2",1,11,0
"952","NOTCH2\x3bNOTCH2NLC",1,4,0
"953","NOTCH2NLA\x3bNOTCH2NLB\x3bNOTCH2NLC",1,10,0
"954","NOTCH2NLC",1,2,0
"955","NPHP4",1,11,0
"956","NPPA",1,1,0
"957","NPPB",1,4,0
"958","NPR1",1,15,0
"959","NR0B2",1,3,0
"960","NR1I3",1,4,0
"961","NRAS",1,3,0
"962","NRDC",1,14,0
"963","NSUN4",1,6,0
"964","NT5C1A",1,9,0
"965","NTNG1",1,7,0
"966","NTRK1",1,16,0
"967","NUDC",1,6,0
"968","NUF2",1,5,0
"969","NUP210L",1,13,0
"970","OAZ3",1,3,0
"971","ODF2L",1,6,0
"972","OLFM3",1,8,0
"973","OLFML2B",1,2,0
"974","OLFML3",1,5,0
"975","OMA1",1,2,0
"976","OR10J1",1,1,0
"977","OR10J3",1,3,0
"978","OR10J4",1,2,0
"979","OR10J5",1,4,0
"980","OR10K1",1,2,0
"981","OR10K2",1,2,0
"982","OR10R2",1,1,0
"983","OR10T2",1,4,0
"984","OR6K2",1,2,0
"985","OR6K6",1,3,0
"986","OR6N1",1,2,0
"987","OR6N2",1,4,0
"988","OR6P1",1,5,0
"989","ORC1",1,9,0
"990","OSBPL9",1,11,0
"991","OSCP1",1,5,0
"992","OTUD3",1,7,0
"993","OTUD7B",1,15,0
"994","OVGP1",1,9,0
"995","OXCT2",1,1,0
"996","P3H1",1,13,0
"997","PABPC4",1,11,0
"998","PABPC4-AS1",1,3,0
"999","PADI1",1,9,0
"1000","PADI2",1,15,0
"1001","PADI3",1,4,0
"1002","PADI4",1,9,0
"1003","PADI6",1,11,0
"1004","PAFAH2",1,7,0
"1005","PALMD",1,4,0
"1006","PANK4",1,11,0
"1007","PAPPA2",1,17,0
"1008","PAQR6",1,7,0
"1009","PAQR7",1,1,0
"1010","PARK7",1,5,0
"1011","PARS2",1,3,0
"1012","PATJ",1,26,0
"1013","PAX7",1,7,0
"1014","PBX1",1,6,0
"1015","PBXIP1",1,5,0
"1016","PCP4L1",1,1,0
"1017","PCSK9",1,9,0
"1018","PDE4B",1,7,0
"1019","PDE4DIP",1,27,0
"1020","PDE4DIPP1",1,3,0
"1021","PDIK1L",1,2,0
"1022","PDPN",1,3,0
"1023","PDZK1",1,2,0
"1024","PDZK1IP1",1,1,0
"1025","PEA15",1,1,0
"1026","PEAR1",1,12,0
"1027","PEF1",1,5,0
"1028","PER3",1,14,0
"1029","PERM1",1,7,0
"1030","PEX10",1,4,0
"1031","PEX10\x3bPLCH2",1,2,0
"1032","PEX11B",1,2,0
"1033","PEX14",1,8,0
"1034","PEX19",1,8,0
"1035","PGD",1,8,0
"1036","PGLYRP3",1,4,0
"1037","PGLYRP4",1,4,0
"1038","PGM1",1,5,0
"1039","PHACTR4",1,6,0
"1040","PHC2",1,4,0
"1041","PHC2-AS1",1,1,0
"1042","PHF13",1,2,0
"1043","PHGDH",1,3,0
"1044","PHTF1",1,5,0
"1045","PI4KB",1,12,0
"1046","PIAS3",1,2,0
"1047","PIFO",1,4,0
"1048","PIGC",1,3,0
"1049","PIGK",1,3,0
"1050","PIGV",1,5,0
"1051","PIK3CD",1,7,0
"1052","PIK3R3",1,1,0
"1053","PINK1",1,7,0
"1054","PINK1-AS",1,1,0
"1055","PIP5K1A",1,8,0
"1056","PITHD1",1,5,0
"1057","PKLR",1,9,0
"1058","PKN2",1,7,0
"1059","PLA2G2A",1,1,0
"1060","PLA2G2C",1,3,0
"1061","PLA2G2D",1,5,0
"1062","PLA2G2F",1,6,0
"1063","PLA2G5",1,3,0
"1064","PLCH2",1,29,0
"1065","PLEKHG5",1,17,0
"1066","PLEKHM2",1,9,0
"1067","PLEKHN1",1,13,0
"1068","PLEKHO1",1,8,0
"1069","PLK3",1,5,0
"1070","PLOD1",1,9,0
"1071","PLPPR4",1,7,0
"1072","PLPPR5",1,3,0
"1073","PMF1\x3bPMF1-BGLAP",1,2,0
"1074","PMVK",1,3,0
"1075","PODN",1,10,0
"1076","POGK",1,4,0
"1077","POGZ",1,8,0
"1078","POLR3C",1,3,0
"1079","POLR3GL",1,1,0
"1080","POMGNT1",1,9,0
"1081","POU2F1",1,13,0
"1082","POU3F1",1,4,0
"1083","POU5F1P4",1,2,0
"1084","PPCS",1,3,0
"1085","PPIAL4G\x3bPPIAL4H",1,6,0
"1086","PPIE",1,7,0
"1087","PPIEL",1,2,0
"1088","PPIH",1,7,0
"1089","PPM1J",1,4,0
"1090","PPOX",1,7,0
"1091","PPP1R8",1,8,0
"1092","PPT1",1,5,0
"1093","PRAMEF1",1,5,0
"1094","PRAMEF10\x3bPRAMEF33",1,1,0
"1095","PRAMEF11",1,7,0
"1096","PRAMEF11\x3bHNRNPCL1",1,1,0
"1097","PRAMEF12",1,7,0
"1098","PRAMEF17",1,2,0
"1099","PRAMEF2",1,10,0
"1100","PRAMEF25\x3bPRAMEF26\x3bPRAMEF5",1,1,0
"1101","PRAMEF27\x3bPRAMEF6\x3bPRAMEF9",1,2,0
"1102","PRAMEF34P\x3bPRAMEF36P",1,4,0
"1103","PRAMEF36P\x3bHNRNPCL2",1,1,0
"1104","PRAMEF36P\x3bPRAMEF18",1,8,0
"1105","PRAMEF4",1,9,0
"1106","PRAMEF4\x3bPRAMEF8",1,6,0
"1107","PRAMEF7\x3bPRAMEF8",1,1,0
"1108","PRAMEF8\x3bPRAMEF6",1,1,0
"1109","PRCC",1,3,0
"1110","PRDM16",1,18,0
"1111","PRDM2",1,21,0
"1112","PRDX1",1,2,0
"1113","PRDX6",1,2,0
"1114","PRKAA2",1,2,0
"1115","PRKACB",1,6,0
"1116","PRKCZ",1,11,0
"1117","PRKCZ-AS1",1,1,0
"1118","PRMT6",1,3,0
"1119","PROK1",1,2,0
"1120","PRPF3",1,9,0
"1121","PRPF38A",1,6,0
"1122","PRPF38B",1,9,0
"1123","PRRC2C",1,19,0
"1124","PRRX1",1,4,0
"1125","PRUNE1",1,5,0
"1126","PRXL2B",1,2,0
"1127","PSMA5",1,6,0
"1128","PSMB2",1,2,0
"1129","PSRC1",1,3,0
"1130","PTAFR",1,4,0
"1131","PTBP2",1,5,0
"1132","PTCH2",1,20,0
"1133","PTGER3",1,9,0
"1134","PTGFR",1,1,0
"1135","PTGFRN",1,11,0
"1136","PTP4A2",1,5,0
"1137","PTPN22",1,4,0
"1138","PTPRF",1,20,0
"1139","PTPRU",1,17,0
"1140","PUM1",1,10,0
"1141","PUSL1",1,5,0
"1142","PYGO2",1,4,0
"1143","PYHIN1",1,4,0
"1144","RAB13",1,1,0
"1145","RAB25",1,3,0
"1146","RAB3B",1,4,0
"1147","RAB42",1,4,0
"1148","RABGAP1L",1,17,0
"1149","RABGGTB",1,3,0
"1150","RAD54L",1,7,0
"1151","RAP1A",1,1,0
"1152","RAP1GAP",1,14,0
"1153","RASAL2",1,2,0
"1154","RAVER2",1,3,0
"1155","RBBP4",1,8,0
"1156","RBM15",1,9,0
"1157","RBM8A",1,3,0
"1158","RBMXL1",1,1,0
"1159","RBP7",1,2,0
"1160","RC3H1",1,6,0
"1161","RCAN3",1,7,0
"1162","RCC1",1,5,0
"1163","RCC2",1,11,0
"1164","RCSD1",1,4,0
"1165","REG4",1,1,0
"1166","RER1",1,3,0
"1167","RERE",1,18,0
"1168","RFX5",1,9,0
"1169","RGS5",1,1,0
"1170","RHBDL2",1,2,0
"1171","RHBG",1,10,0
"1172","RHCE",1,6,0
"1173","RHD",1,3,0
"1174","RHD\x3bRSRP1",1,2,0
"1175","RHOC",1,2,0
"1176","RIIAD1",1,1,0
"1177","RIMKLA",1,2,0
"1178","RIMS3",1,4,0
"1179","RIT1",1,1,0
"1180","RLF",1,7,0
"1181","RNF115",1,3,0
"1182","RNF186",1,1,0
"1183","RNF19B",1,5,0
"1184","RNF207",1,7,0
"1185","RNF220",1,11,0
"1186","RNF223",1,3,0
"1187","RNPC3",1,5,0
"1188","ROR1",1,11,0
"1189","RORC",1,10,0
"1190","RPA2",1,7,0
"1191","RPAP2",1,10,0
"1192","RPE65",1,5,0
"1193","RPF1",1,3,0
"1194","RPL11",1,2,0
"1195","RPL22",1,7,0
"1196","RPL5",1,2,0
"1197","RPRD2",1,13,0
"1198","RPS6KA1",1,9,0
"1199","RPS8",1,2,0
"1200","RPTN",1,18,0
"1201","RRAGC",1,4,0
"1202","RRNAD1",1,6,0
"1203","RSBN1",1,6,0
"1204","RSC1A1",1,2,0
"1205","RSPO1",1,8,0
"1206","RTCA",1,2,0
"1207","RUNX3",1,4,0
"1208","RUSC1",1,14,0
"1209","RUSC1-AS1",1,1,0
"1210","RWDD3",1,2,0
"1211","RXFP4",1,3,0
"1212","RXRG",1,3,0
"1213","S100A1",1,1,0
"1214","S100A1\x3bS100A13",1,1,0
"1215","S100A13",1,1,0
"1216","S100A14",1,1,0
"1217","S100A16",1,1,0
"1218","S100A2",1,3,0
"1219","S100A3",1,1,0
"1220","S100A5",1,2,0
"1221","S100A7A\x3bS100A7",1,1,0
"1222","S100A7A\x3bS100A8",1,1,0
"1223","S100A8",1,1,0
"1224","S100A9",1,1,0
"1225","SAMD11",1,7,0
"1226","SAMD13",1,1,0
"1227","SARS1",1,9,0
"1228","SASS6",1,5,0
"1229","SCAMP3",1,7,0
"1230","SCMH1",1,9,0
"1231","SCNM1\x3bTNFAIP8L2-SCNM1",1,3,0
"1232","SCNN1D",1,11,0
"1233","SCP2",1,5,0
"1234","SCYL3",1,8,0
"1235","SDC3",1,2,0
"1236","SDF4",1,7,0
"1237","SDHB",1,8,0
"1238","SDHC",1,8,0
"1239","SEC22B",1,2,0
"1240","SEC22B2P\x3bSEC22B3P",1,2,0
"1241","SELE",1,2,0
"1242","SELENBP1",1,5,0
"1243","SELENOF",1,1,0
"1244","SELENON",1,11,0
"1245","SELL",1,3,0
"1246","SELP",1,9,0
"1247","SEMA4A",1,9,0
"1248","SEMA6C",1,10,0
"1249","SERBP1",1,2,0
"1250","SERINC2",1,9,0
"1251","SERPINC1",1,6,0
"1252","SESN2",1,4,0
"1253","SESN2\x3bMED18",1,2,0
"1254","SETDB1",1,16,0
"1255","SETSIP",1,2,0
"1256","SF3A3",1,5,0
"1257","SF3B4",1,5,0
"1258","SF3B4\x3bMTMR11",1,1,0
"1259","SFN",1,2,0
"1260","SFPQ",1,14,0
"1261","SFT2D2",1,4,0
"1262","SGIP1",1,13,0
"1263","SH2D1B",1,1,0
"1264","SH2D2A",1,3,0
"1265","SH2D5",1,4,0
"1266","SH3BGRL3",1,4,0
"1267","SH3D21",1,14,0
"1268","SH3GLB1",1,3,0
"1269","SHC1",1,9,0
"1270","SHE",1,4,0
"1271","SHISAL2A",1,2,0
"1272","SIKE1",1,6,0
"1273","SKI",1,10,0
"1274","SKINT1L",1,1,0
"1275","SLAMF1",1,2,0
"1276","SLAMF6",1,4,0
"1277","SLAMF7",1,1,0
"1278","SLAMF8",1,2,0
"1279","SLC16A1",1,3,0
"1280","SLC16A4",1,1,0
"1281","SLC19A2",1,4,0
"1282","SLC1A7",1,3,0
"1283","SLC22A15",1,3,0
"1284","SLC25A24",1,7,0
"1285","SLC25A33",1,2,0
"1286","SLC25A34",1,6,0
"1287","SLC27A3",1,13,0
"1288","SLC2A1",1,9,0
"1289","SLC2A1-AS1\x3bFAM183A",1,2,0
"1290","SLC2A5",1,4,0
"1291","SLC2A7",1,5,0
"1292","SLC30A2",1,7,0
"1293","SLC35A3",1,1,0
"1294","SLC35D1",1,7,0
"1295","SLC35E2A",1,6,0
"1296","SLC35E2B",1,4,0
"1297","SLC39A1",1,1,0
"1298","SLC44A3",1,5,0
"1299","SLC44A5",1,4,0
"1300","SLC45A1",1,6,0
"1301","SLC50A1",1,6,0
"1302","SLC5A9",1,14,0
"1303","SLC66A1",1,5,0
"1304","SLC6A17",1,11,0
"1305","SLC6A9",1,15,0
"1306","SLC9A1",1,13,0
"1307","SLC9C2",1,11,0
"1308","SLFNL1",1,4,0
"1309","SLFNL1-AS1",1,1,0
"1310","SMAP2",1,3,0
"1311","SMCP",1,4,0
"1312","SMG5",1,11,0
"1313","SMIM1",1,2,0
"1314","SMIM12",1,1,0
"1315","SMPDL3B",1,7,0
"1316","SNAPIN",1,3,0
"1317","SNHG28",1,1,0
"1318","SNIP1",1,2,0
"1319","SNRNP40",1,5,0
"1320","SNX27",1,9,0
"1321","SNX7",1,5,0
"1322","SORT1",1,5,0
"1323","SPAG17",1,11,0
"1324","SPAG17\x3bWDR3",1,1,0
"1325","SPATA1",1,5,0
"1326","SPATA21",1,9,0
"1327","SPATA6",1,13,0
"1328","SPEN",1,25,0
"1329","SPOCD1",1,11,0
"1330","SPRR1A",1,1,0
"1331","SPRR2D",1,1,0
"1332","SPRR2E",1,1,0
"1333","SPRR2F",1,1,0
"1334","SPRR2G",1,1,0
"1335","SPRR4",1,1,0
"1336","SPSB1",1,5,0
"1337","SPTA1",1,25,0
"1338","SRARP",1,1,0
"1339","SRGAP2-AS1\x3bSRGAP2D",1,2,0
"1340","SRGAP2B\x3bSRGAP2C",1,1,0
"1341","SRM",1,4,0
"1342","SRRM1",1,10,0
"1343","SRSF11",1,6,0
"1344","SRSF4",1,7,0
"1345","SSBP3",1,9,0
"1346","SSR2",1,9,0
"1347","SSU72",1,1,0
"1348","SSX2IP",1,10,0
"1349","ST3GAL3",1,5,0
"1350","ST6GALNAC3",1,4,0
"1351","ST6GALNAC5",1,2,0
"1352","ST7L",1,5,0
"1353","STIL",1,5,0
"1354","STK40",1,4,0
"1355","STMN1",1,2,0
"1356","STPG1",1,2,0
"1357","STRIP1",1,3,0
"1358","STX12",1,5,0
"1359","STXBP3",1,9,0
"1360","SUCO",1,11,0
"1361","SV2A",1,7,0
"1362","SYCP1",1,6,0
"1363","SYDE2",1,6,0
"1364","SYF2",1,3,0
"1365","SYNC",1,5,0
"1366","SYPL2",1,5,0
"1367","SYT11",1,5,0
"1368","SYT6",1,3,0
"1369","SYTL1",1,5,0
"1370","SZRD1",1,5,0
"1371","SZT2",1,39,0
"1372","TADA1",1,1,0
"1373","TAF12",1,3,0
"1374","TAF13",1,3,0
"1375","TAFA3",1,1,0
"1376","TAGLN2",1,1,0
"1377","TAL1",1,4,0
"1378","TARDBP",1,10,0
"1379","TARS2",1,3,0
"1380","TAS1R1",1,7,0
"1381","TAS1R2",1,3,0
"1382","TAS1R3",1,10,0
"1383","TBX15",1,5,0
"1384","TBX19",1,3,0
"1385","TCEA3",1,5,0
"1386","TCEANC2",1,5,0
"1387","TCHH",1,14,0
"1388","TCHHL1",1,2,0
"1389","TCTEX1D4",1,3,0
"1390","TDRD10",1,8,0
"1391","TDRKH",1,10,0
"1392","TEKT2",1,3,0
"1393","TENT5B",1,2,0
"1394","TENT5B\x3bSLC9A1",1,5,0
"1395","TENT5C",1,5,0
"1396","TESK2",1,14,0
"1397","TEX38",1,2,0
"1398","TFAP2E",1,6,0
"1399","TGFBR3",1,8,0
"1400","THAP3",1,7,0
"1401","THBS3",1,9,0
"1402","THEM4",1,4,0
"1403","THEM5",1,1,0
"1404","THEMIS2",1,3,0
"1405","THRAP3",1,7,0
"1406","TIE1",1,13,0
"1407","TINAGL1",1,5,0
"1408","TIPRL",1,2,0
"1409","TLCD4",1,1,0
"1410","TLCD4\x3bTLCD4-RWDD3",1,2,0
"1411","TM2D1",1,9,0
"1412","TMCO1",1,2,0
"1413","TMCO2",1,1,0
"1414","TMCO4",1,7,0
"1415","TMED5",1,1,0
"1416","TMEM125",1,1,0
"1417","TMEM167B",1,1,0
"1418","TMEM200B",1,2,0
"1419","TMEM201",1,11,0
"1420","TMEM222",1,8,0
"1421","TMEM234",1,4,0
"1422","TMEM240",1,3,0
"1423","TMEM269",1,5,0
"1424","TMEM275",1,5,0
"1425","TMEM39B",1,3,0
"1426","TMEM50A",1,2,0
"1427","TMEM51-AS1",1,1,0
"1428","TMEM52",1,3,0
"1429","TMEM53",1,2,0
"1430","TMEM54",1,2,0
"1431","TMEM59",1,4,0
"1432","TMEM61",1,6,0
"1433","TMEM69",1,1,0
"1434","TMEM79",1,4,0
"1435","TMEM82",1,2,0
"1436","TMEM88B",1,2,0
"1437","TMIGD3",1,3,0
"1438","TMOD4",1,4,0
"1439","TNFAIP8L2",1,1,0
"1440","TNFRSF14",1,7,0
"1441","TNFRSF18",1,6,0
"1442","TNFRSF1B",1,5,0
"1443","TNFRSF25",1,5,0
"1444","TNFRSF4",1,4,0
"1445","TNFRSF8",1,15,0
"1446","TNFRSF9",1,7,0
"1447","TNFSF18",1,1,0
"1448","TNFSF4",1,3,0
"1449","TNN",1,14,0
"1450","TNR",1,13,0
"1451","TOE1",1,5,0
"1452","TOMM40L",1,4,0
"1453","TP73",1,6,0
"1454","TPM3",1,10,0
"1455","TRABD2B",1,5,0
"1456","TRAPPC3",1,2,0
"1457","TRIM33",1,10,0
"1458","TRIM45",1,7,0
"1459","TRIM46",1,7,0
"1460","TRIM62",1,6,0
"1461","TRIM63",1,5,0
"1462","TRIT1",1,4,0
"1463","TRMT13",1,5,0
"1464","TRNAU1AP",1,9,0
"1465","TRNP1",1,2,0
"1466","TSACC",1,1,0
"1467","TSPAN1",1,4,0
"1468","TSPAN2",1,2,0
"1469","TSSK3",1,1,0
"1470","TSTD1",1,1,0
"1471","TTC22",1,10,0
"1472","TTC24",1,7,0
"1473","TTC34",1,5,0
"1474","TTC39A",1,7,0
"1475","TTC4",1,3,0
"1476","TTF2",1,11,0
"1477","TTLL10",1,20,0
"1478","TTLL7",1,6,0
"1479","TUFT1",1,7,0
"1480","TUT4",1,9,0
"1481","TXLNA",1,3,0
"1482","TXNDC12",1,7,0
"1483","TXNIP",1,4,0
"1484","TYW3",1,4,0
"1485","UAP1",1,7,0
"1486","UBAP2L",1,11,0
"1487","UBE2J2",1,4,0
"1488","UBE2Q1",1,5,0
"1489","UBE2U",1,4,0
"1490","UBE4B",1,16,0
"1491","UBIAD1",1,6,0
"1492","UBL4B",1,2,0
"1493","UBQLN4",1,3,0
"1494","UBR4",1,61,0
"1495","UBXN10",1,4,0
"1496","UBXN11",1,10,0
"1497","UCK2",1,1,0
"1498","UFC1",1,3,0
"1499","UHMK1",1,7,0
"1500","UQCRH",1,2,0
"1501","UQCRH\x3bNSUN4",1,4,0
"1502","UROD",1,8,0
"1503","USF1",1,4,0
"1504","USP1",1,4,0
"1505","USP21",1,10,0
"1506","USP24",1,24,0
"1507","USP33",1,12,0
"1508","USP48",1,14,0
"1509","UTP11",1,7,0
"1510","UTS2",1,3,0
"1511","VAMP3",1,1,0
"1512","VANGL1",1,6,0
"1513","VANGL2",1,9,0
"1514","VAV3",1,13,0
"1515","VCAM1",1,7,0
"1516","VHLL",1,1,0
"1517","VPS13D",1,38,0
"1518","VPS45",1,6,0
"1519","VPS72",1,4,0
"1520","VSIG8",1,7,0
"1521","VTCN1",1,2,0
"1522","VWA1",1,2,0
"1523","VWA5B1",1,10,0
"1524","WARS2",1,3,0
"1525","WASH7P",1,13,0
"1526","WDR3",1,14,0
"1527","WDR47",1,8,0
"1528","WDR63",1,8,0
"1529","WDR77",1,3,0
"1530","WDR78",1,5,0
"1531","WDTC1",1,6,0
"1532","WLS",1,9,0
"1533","WNT2B",1,6,0
"1534","WNT4",1,6,0
"1535","WRAP73",1,10,0
"1536","XCL1",1,2,0
"1537","XCL2",1,3,0
"1538","XKR8",1,4,0
"1539","YARS1",1,9,0
"1540","YBX1",1,7,0
"1541","YIPF1",1,2,0
"1542","YRDC",1,2,0
"1543","YTHDF2",1,4,0
"1544","YY1AP1",1,10,0
"1545","ZBTB17",1,11,0
"1546","ZBTB37",1,3,0
"1547","ZBTB40",1,10,0
"1548","ZBTB48",1,7,0
"1549","ZBTB7B",1,4,0
"1550","ZBTB8A",1,1,0
"1551","ZBTB8B",1,1,0
"1552","ZBTB8B\x3bZBTB8A",1,3,0
"1553","ZBTB8OS",1,1,0
"1554","ZC3H12A",1,3,0
"1555","ZCCHC17",1,1,0
"1556","ZDHHC18",1,8,0
"1557","ZFP69",1,7,0
"1558","ZFP69B",1,3,0
"1559","ZFYVE9",1,11,0
"1560","ZMPSTE24",1,4,0
"1561","ZMYM1",1,7,0
"1562","ZMYM1\x3bSFPQ",1,2,0
"1563","ZMYM4",1,10,0
"1564","ZMYM6",1,3,0
"1565","ZNF326",1,3,0
"1566","ZNF362",1,5,0
"1567","ZNF436",1,4,0
"1568","ZNF593",1,5,0
"1569","ZNF644",1,2,0
"1570","ZNF683",1,2,0
"1571","ZNF684",1,6,0
"1572","ZNF687",1,5,0
"1573","ZNF691",1,3,0
"1574","ZNF697",1,7,0
"1575","ZNHIT6",1,5,0
"1576","ZRANB2",1,1,0
"1577","ZSCAN20",1,8,0
"1578","ZSWIM5",1,8,0
"1579","ZYG11A",1,4,0
"1580","ZYG11B",1,3,0
"1581","ZZZ3",1,4,0
